name,stage,employees,raised,year_founded,hq_city,tech_vertical,reg_number,website,notes,description
Balena Science,Seed,11-50,Undisclosed,,,,,,,Compostable Biodegradable Thermoplastic Materials
Barantech,Mature,11-50,Undisclosed,,,,,,,Piezoelectric Switch Technology BazzTec Pre- 1-10 Undisclosed Advanced Battery Funding Monitoring Systems for
Bio-Nexus,Mature,1-10,$3M,,,,,,Presumed Inactive,presumed   Mobile Management and Communication Tools
Blink,A,11-50,$24M,,,,,,,Technologies Advanced Eye Tracking Technologies for Enhanced User Experience
BriefCam,Acquired,51-200,$20.26M,,,,,,,Video Surveillance
Brillianetor,Mature,1-10,Undisclosed,,,,,,,Multi-robot Collaborative AI Tools
C-True,Mature,1-10,Undisclosed,,,,,,Presumed Inactive,presumed   Biometric Face Recognition
C2A Security,A,11-50,$26.7M,2016,Jerusalem,"Artificial Intelligence, Automotive, Cyber Security, Industry 4.0, IoT, Machine Learning",515460111,https://www.c2a-sec.com,,"C2A Security is the only AI-based, context- driven product security orchestration platform."
CASTOR,Seed,11-50,$5.87M,,,,,,Presumed Inactive,presumed   Automatically Identify Suitable Parts for Additive Manufacturing
CellGuide,Acquired,1-10,Undisclosed,,,,,,,Developer of SNAP Technology for GPS
Ception,Seed,1-10,$7M,,,,,,Presumed Inactive,AI-powered Safety System for Heavy Machinery CirculAir Pre- 1-10 Undisclosed presumed  Funding
Cognata,B,11-50,$27.8M,2016,Rehovot,"Artificial Intelligence, Automotive, Defense Tech, Machine Learning, Machine Vision",515486579,https://www.cognata.com,,Data Generation for AV and ADAS platforms
Continual,Public,11-50,$14M,,,,,,,Mobility Experience Analytics
Copprint,A,11-50,$10.22M,,,,,,,Non-oxidizing Nano- copper Conductive Inks for Printed Electronics
Cortica,D,11-50,$107.9M,2007,Tel Aviv,"Artificial Intelligence, Automotive, Deep Tech, DevOps, Drones, IoT, Machine Learning, Machine Vision, RetailTech, Smart City",513975250,http://www.cortica.com,,Autonomous AI Model Developer
Creative IC3D,Pre-Seed,1-10,$1M,,,,,,,Additive Manufacturing for the Printed Electronics and Energy Storage Industries A 1-10 Undisclosed
CU-BX,Seed,1-10,$1M,,,,,,Presumed Inactive,presumed   Health Analytics Platform for In-cabin Comfort & Safety
Cybellum,Acquired,11-50,$14.5M,,,,,,,Cyber Security for Automotive Component Manufacturers and
CyberX,Acquired,11-50,$47.02M,,,,,,,IIoT and ICS Cyber- security Platform
Cybord,A,11-50,$12.95M,,,,,,,AI-based Visual Inspection for Electronic Component Analytics and Traceability
Dan-Tech Energy,Mature,11-50,Undisclosed,2011,Berlin,"Automotive, Robotics",513336479,http://www.danenergy.com,,Rechargeable Battery Packs for Industrial Use
DATA Detection,Mature,11-50,Undisclosed,,,,,,,"Technologies Bulk Counting, Packaging, and Inventory Control Solutions"
Datagen,B,51-200,$68.5M,,,,,,Presumed Inactive,presumed   Synthetic Data to Train Deep-learning Systems
DAV Foundation,Seed,500+,Undisclosed,,,,,,Presumed Inactive,presumed   Blockchain-based Transportation Platform
Designer Energy,Seed,1-10,Undisclosed,,,,,,Presumed Inactive,presumed   Producing Biofuel from Sugars
Diolan,Mature,1-10,Undisclosed,,,,,,,Versatile interface Adapters for Product Development & Testing
Dip-Tech,Acquired,51-200,Undisclosed,,,,,,,Digital Ceramic In- glass Printing
Dor Group,Mature,11-50,Undisclosed,,,,,,,Chemical Manufacturing and Marketing
Driveway,Acquired,1-10,$11.63M,,,,,,,Software Driver-safety Scoring and Usage-based Insurance Solution
Duality,B,51-200,$50M,,,,,,,Technologies Privacy Solutions for Data Collaboration
Duma Optronics,Mature,11-50,Undisclosed,,,,,,Presumed Inactive,Laser Measurement Device Developer E-phorus Pre- 1-10 Undisclosed presumed  Funding  Electric Vehicle
EasySend,B,51-200,$66.5M,,,,,,,Platform for Creating and Optimizing Digital Customer Journeys
EcoTech,Mature,1-10,Undisclosed,,,,,,,Recycling Rubber Recycling
EExion,Seed,11-50,$2.4M,1968,Savyon-Ganey Yehuda,"Automotive, Defense Tech",510496532,https://mobilinx.wixsite.com/website,,"Carbon Battery Ends Rare-metal Reliance with a Local, Scalable,"
EGM,B,201-500,$17M,,,,,,,Electrical Grid Monitoring and Managing Tool
Elbit Vision,Acquired,11-50,Undisclosed,,,,,,,"Systems Automatic Optical Inspection for Fabrics, Auto Parts, and PCBs"
Eldrotec,Mature,1-10,Undisclosed,,,,,,,Precise Cooling Systems for Military and Industrial Applications Electricare Pre- 1-10 Undisclosed presumed
Electriq,Seed,11-50,$24.88M,,,,,,Presumed Inactive,presumed   Hydrogen Solid Carriers
Elspec,Public,51-200,Undisclosed,,,,,,,Engineering Power Quality Analysis and Factor Correction
Eltam Ein-,Mature,11-50,Undisclosed,1967,Kibbutz Ein Hashofet,"Automotive, IoT, Smart City",550001374,https://www.eltam-eh.co.il/en,,Hashofet Advanced Lighting System Design and Manufacturing
Eltek,Public,51-200,$10M,,,,,,,Printed Circuit Board Design and Manufacturer
emza Visual,Acquired,11-50,Undisclosed,,,,,,,Sense Sub-milliwatt Visual Sensors for IoT
Engie,Mature,51-200,$7.3M,,,,,,Presumed Inactive,presumed   Car Condition Tracking Solution
Engineuity,A,1-10,$2.3M,,,,,,Presumed Inactive,presumed   Alternative Fuels Based on Natural Gas
Enroute,Pre-Seed,1-10,$825K,,,,,,,eCommerce Layer for Mobility Services
EntroSys,Mature,1-10,Undisclosed,,,,,,,Air Conditioning for Motorcycles
Epsilor-Electric,Mature,11-50,Undisclosed,1985,Beit Shemesh,"Automotive, Defense Tech, SpaceTech",511067480,https://www.epsilor.com,,Fuel Defense & Military Batteries and Chargers
EtherWaves,Mature,1-10,$2M,,,,,,,Digital Radio Technology for the Automotive Industry
ETV Energy,Mature,1-10,$12M,2008,Ramat Gan,"Automotive, Climate Tech",514120898,http://www.etvenergy.com,Presumed Inactive,Lithium-ion Batteries for Electric Vehicles EV Kinetics Pre- 1-10 Undisclosed presumed Technologies Funding
EVCO Pro,Seed,1-10,Undisclosed,2018,Netanya,Automotive,515844132,http://evco.pro,,High-performance Shock Absorbers EVolution Pre- 11-50 Undisclosed Dynamic Battery Power Funding Management Solution
EVR Motors,Seed,11-50,$401.39K,2008,Petach Tikva,Automotive,514782135,https://evr-motors.com,,ןוכמ ירבח Electric Motor Topology
EXO Technologies,Acquired,1-10,Undisclosed,,,,,,,Predictive Software for Improving GPS Accuracy
ExorGate,Mature,1-10,Undisclosed,,,,,,Presumed Inactive,presumed   Digital Medical Flow Meters
Feelit,A,11-50,$18.73M,,,,,,,Technologies Nanomaterial-based Sensing Solutions for IoT Applications
Fieldbit,Acquired,1-10,$2.9M,,,,,,,Collaboration Platform for Field Services
Fleetonomy,Acquired,1-10,$3M,,,,,,,
FlexiFuel,Seed,1-10,$15K,1968,Savyon-Ganey Yehuda,"Automotive, Defense Tech",510496532,https://mobilinx.wixsite.com/website,Presumed Inactive,presumed   Flexible-fuel Engines
Flywheel Energy,Seed,1-10,$700K,,,,,,Presumed Inactive,presumed   Flash Charger for Electrical Vehicles
Foamotive,Mature,51-200,Undisclosed,,,,,,,PE Foam Products for Automobiles
Frenel Imaging,Seed,1-10,$1M,,,,,,,Polarimetric Thermal Imaging Solutions for Enhanced Target Detection and Environmental Sensing
Frisimos,Mature,11-50,Undisclosed,,,,,,,Technologies Automated Solutions for Electrical Cable Assembly
frontline.io,A,11-50,$12.8M,,,,,,,3D AR Remote Training & Support
Fullpath,C,201-500,$57M,2012,Miami,"AdTech, Artificial Intelligence, Automotive, Machine Learning, Marketing Tech, RetailTech, SaaS",514762673,https://www.fullpath.com,,Automotive Customer Data and Experience Platform
Fusepoint,Mature,1-10,$1M,,,,,,Presumed Inactive,presumed   Connected Car Loyalty System
FVMat,Pre-Seed,1-10,$850K,,,,,,,Meta-Materials for Advanced Industry Applications
Galileo Satellite,Mature,1-10,$3.46M,,,,,,,Navigation Solutions for the Civil GNSS/GPS Market
GOARC,B,11-50,$19.9M,,,,,,,Digital Safety Solutions for Industrial Environments
Good2Go,Mature,1-10,Undisclosed,,,,,,Presumed Inactive,presumed   Driver Safety and Security
Grafenika,Seed,1-10,$2.5M,,,,,,,
Green ELMF,Mature,1-10,$354K,,,,,,,Cables Extra-low Electromagnetic Field Cables
Green2Pass,Seed,1-10,$570K,2016,Ashdod,Automotive,515331593,,,Real-time Passing Safety Solution for Drivers
Guardian Optical,Acquired,1-10,$11.1M,,,,,,,Technologies Sensor Technology for Cabin Occupancy
GuardKnox,A,11-50,$24M,2016,Ramla,"Automotive, Cyber Security, IoT",515391837,https://www.guardknox.com,,Automotive E/E Solutions for Software- Defined Vehicles
Hailo,C,201-500,$346.41M,2015,Tel Aviv,"Artificial Intelligence, Augmented Reality, Automotive, Cloud, Deep Tech, Drones, Generative AI, Industry 4.0, IoT, Machine Learning, RetailTech, Smart City, Wearables",515604445,https://hailo.ai,,AI Processor for Edge Devices
Halo Digital,Mature,500+,$10M,,,,,,Presumed Inactive,presumed   Digital Replica for Smart Manufacturing
Hanita Coatings,Acquired,51-200,Undisclosed,,,,,,,Window Films for Insulation and Energy Efficiency
HTS,Acquired,201-500,$3M,,,,,,,Identification and Tracking of Vehicles and Cargo
Imagry,A,51-200,$55.9M,2013,Haifa,"Artificial Intelligence, Automotive, IoT, Machine Learning, Machine Vision",515173938,https://imagry.co,,ןוכמ ירבח Mapless Autonomous Driving In Car Eye Pre- 1-10 Undisclosed In-cabin Human Funding Behavior Prediction
Incentives,Mature,11-50,Undisclosed,2005,Altdorf,"Automotive, Climate Tech",,https://www.cenh2.com,,Solutions Incentive Management Platform for Enterprises
Inomize,Mature,11-50,Undisclosed,,,,,,,ASIC/SoC Design and Manufacturing
Inpris HumAIns,Seed,1-10,$2.6M,2011,Jerusalem,"Artificial Intelligence, Automotive, Generative AI, IoT, Machine Learning, Machine Vision",514658277,https://www.humains.com,,Proactive Employee Management System for Enterprises
Inspekto,Acquired,11-50,$17M,,,,,,,Automated Visual Inspection System
Intelichain Labs,Seed,11-50,Undisclosed,,,,,,,AI-Driven Demand Planning Platform Intelligent Smart Pre- 1-10 Undisclosed Ideas Funding
Inuitive,Mature,51-200,$176M,,,,,,,3D Imaging Camera Technology
iOnRoad,Acquired,1-10,$150K,,,,,,,Smartphone-based Driving Assistant for Road Safety
IonTerra,Mature,1-10,$3.96M,,,,,,,Visual Analysis for Autonomous Driving
iPhysicist,Mature,1-10,Undisclosed,2009,Netanya,"Augmented Reality, Automotive, Machine Vision, Virtual Reality",514229954,http://www.iphysicist.com,,Optical Systems Design and Production House
ISCAR,Acquired,500+,Undisclosed,,,,,,,Metalworking Tool Manufacturer
IsraZion,Mature,1-10,Undisclosed,1986,Jerusalem,Automotive,560009516,https://isrtransit.com,,Transforming Waste into Valuable Materials IVObility Pre- 1-10 $56K Robotic Driving Funding Platform
Karamba Security,B,11-50,$27M,2016,Hod Hasharon,"Automotive, Cyber Security, Industry 4.0, IoT",515390979,https://karambasecurity.com,,Embedded Security for Connected Systems
Keylabs AI,Seed,1-10,$1.2M,,,,,,,
KiloLambda,Mature,1-10,Undisclosed,,,,,,,Technologies Sunlight and Laser Protection Solutions
King Engine,Mature,51-200,Undisclosed,,,,,,,Bearings Engine Bearing Developer and Manufacturer
KITOV.ai,Mature,11-50,$10M,,,,,,Presumed Inactive,Automated Visual Inspection Solutions kmoEye Pre- 1-10 Undisclosed  Funding
Largix,A,1-10,$8.3M,,,,,,,Additive Production System
Lehavot,Mature,11-50,Undisclosed,,,,,,,Automatic Fire Detection and Suppression Systems
Lidwave,Seed,11-50,$10M,2019,Jerusalem,"Automotive, Deep Tech, Robotics",516180213,https://www.lidwave.com,,3D-sensing Architecture
LIMIT Lock,Mature,1-10,Undisclosed,,,,,,,"Removable, Reusable Locking Fasteners"
Lingacom,A,1-10,$7.23M,,,,,,,Muon-based Detection Technology
Lirhot Systems,Seed,1-10,$2M,,,,,,Presumed Inactive,Visual Perception Sensors for Robots Luchs Security Pre- 1-10 Undisclosed  Funding
Magnus Metal,B,51-200,$74M,,,,,,,Digital Casting Process for Industrial Volume Production of Metal Alloys
Makalu Optics,Seed,11-50,Undisclosed,2019,Rehovot,"Automotive, Drones, Robotics",516082096,https://www.makaluoptics.com,,LiDAR Vision for Autonomous Vehicles Manna Laminates Pre- 1-10 Undisclosed Thermoplastic Funding Composite Materials
Maradin,Mature,1-10,$4M,2007,Yoqneam,"Augmented Reality, Automotive, Virtual Reality",513962316,https://www.maradin.co.il,,Laser Scanning Solutions Based on MEMS Technology Marlindeed Pre- 1-10 Undisclosed
MASSIVit 3D,Public,51-200,$78.6M,,,,,,,Printing Technologies High-volume 3D Printing Solutions
Matics,A,11-50,$20.75M,1985,Rishon Le-Zion,"Automotive, IoT",511100471,http://www.ermtelematics.com,,Real-time Manufacturing Analytics
Micro Point Pro,Mature,11-50,Undisclosed,,,,,,,High-precision Micro- electronics Tools and Probe Heads
mifold,Mature,1-10,$3.3M,,,,,,,Compact Car Seat
Mobius,Mature,11-50,$5.8M,2013,Nazareth,"Artificial Intelligence, Automotive, IoT, Smart City",514969104,https://www.mobilityinsight.net,,Protection Systems Energy Absorbing Seat Systems
Mofet Etzion,Mature,11-50,Undisclosed,,,,,,,Yehuda
Moodify,A,11-50,$19.3M,2015,Kfar Saba,"Artificial Intelligence, Automotive, Machine Learning",515662732,https://www.moodify.ai,,Software-defined Scents
Morel,Mature,1-10,Undisclosed,,,,,,,Audio Drivers and Speakers
MotoRad,Acquired,201-500,Undisclosed,,,,,,,Engine & Thermal for the Automotive Industry
MOTX,Seed,1-10,$1.65M,,,,,,,Motors & Motion Systems MTL-3D Pre- 1-10 Undisclosed Optical 3D Inspection Funding
MultiVu,Seed,1-10,$7M,,,,,,,Advanced 3D Imaging Solution Mycelium Pre- 11-50 Undisclosed Route Management Funding
NanoLock,C,11-50,$50.2M,,,,,,,"Security Device-level, Zero-trust OT Cybersecurity Solutions"
Nemo,A,11-50,$7M,,,,,,,Nanomaterials Conductive Nanocarbon Masterbatches for Plastics
Neo Composite,Mature,1-10,Undisclosed,,,,,,,Fiber-reinforced Composite Products
Neomatix,Mature,1-10,$3M,,,,,,,Optical Tire Pressure Monitoring
NewCO2Fuels,A,1-10,$11.03M,,,,,,,CO2-based Fuel Production A 11-50 $14.1M
Next Plus,Mature,11-50,Undisclosed,,,,,,,Industrial Production and Maintenance Platform
NexTec Laser,Acquired,11-50,Undisclosed,,,,,,,Laser 3D Scanning and Inspection Technology
Noam Urim,Acquired,11-50,Undisclosed,1976,Kibbutz Urim,Automotive,511901621,https://noam-urim.com,,Manufacturer of Absorbent Nonwoven Fabrics NOVAlert IVS Pre- 1-10 $900K
NoviSign,Mature,11-50,$200K,,,,,,,Digital Signage Software
NRG International,Mature,1-10,Undisclosed,1980,Moshav Aminadav,Automotive,511327876,http://www.nrg1.co.il/multilang/en,,Motor Oils and Grease Products
NRG Spring,Seed,1-10,$400K,2012,Kfar Vradim,Automotive,,https://www.nrgspring.com,,Energy Storage System
Nur Ink,Public,11-50,$12M,,,,,,,Innovations Water-Based Pigment Inks for Digital Printing NXTdrive Pre- 1-10 Undisclosed
Oosto,Acquired,51-200,$352M,,,,,,,Visual Intelligence Solutions OPCAR-EV Pre- 1-10 Undisclosed Electric Vehicle Funding
Openeyes,A,11-50,$23M,,,,,,,Commercial Automotive Insurance for Fleets
OpenLegacy,Mature,51-200,$61M,,,,,,Presumed Inactive,All-in-one Modernization Platform for Legacy Systems OpRoads AI Pre- 1-10 Undisclosed  Funding
OpsysTech,C,51-200,$82.5M,2016,Holon,Automotive,515386001,https://www.opsys-tech.com,,Solid-state LiDAR
Optima Design,Seed,1-10,$2.7M,2014,Nazareth,Automotive,515041325,http://www.optima-da.com,,ןוכמ ירבח Automation Fault Simulation for Semiconductors
OptimalPlus,Acquired,201-500,$80.5M,,,,,,,"Analytics Solutions for the Automotive, Semiconductor, and Electronics Industries"
OptiTex,Acquired,51-200,Undisclosed,,,,,,,3D Design Software for the Textile Industry
Ornit Blind Rivets,Mature,11-50,Undisclosed,,,,,,,Industrial Rivet and Fastener Manufacturer
Oryx Vision,B,11-50,$67M,,,,,,,Automotive LiDAR
OSG - Oran,Mature,51-200,Undisclosed,1979,Kibbutz Zova,"Automotive, Defense Tech",550004071,https://osg-group.com,,Safety Glass Bullet-resistant and Specialty Glass
OSR Enterprises,Mature,51-200,Undisclosed,2011,Zug,"Artificial Intelligence, Automotive, Cyber Security, IoT, Machine Learning",515049062,http://www.osrenterprises.com,,Scalable AI Brain for Connected Vehicles
otonomo,Acquired,201-500,$341.1M,,,,,,,Smart Mobility Data Platform
OTORIO,Acquired,11-50,$50M,,,,,,,OT Cyber Security Solutions
OttoFence,Seed,1-10,Undisclosed,,,,,,,Automotive Cyber Security
Ottopia,A,11-50,$26.5M,2018,Tel Aviv,"Artificial Intelligence, Automotive, Defense Tech, Machine Learning, Robotics, Smart City",515900702,https://ottopia.tech,,Teleoperation Software for Connected Vehicles OttoSec Pre- 1-10 Undisclosed In-vehicle Hardware Funding Firewall for Automotive
Palziv,Mature,51-200,Undisclosed,,,,,,,Polyethylene and Synthetic Rubber Foams
Paxis,Mature,11-50,Undisclosed,1968,Savyon-Ganey Yehuda,"Automotive, Defense Tech",510496532,https://mobilinx.wixsite.com/website,,Advanced Ceramic Materials and Solutions
PCT - Protective,Mature,1-10,Undisclosed,,,,,,,Coating Technology Corrosion-resistant Ceramic Layer for
Phantom Auto,B,51-200,$55.5M,,,,,,,Remote Vehicle Operations Platform
PHASE3,Mature,11-50,Undisclosed,,,,,,,Technologies Real-time Monitoring and Maintenance Alerts for Industrial
Phinergy,Public,11-50,$144M,2010,Kfar Saba,"Automotive, Climate Tech, Cloud, Deep Tech",514354786,https://phinergy.com,,MetalAir Energy Generation and Storage Systems PhotoLiqSys Pre- 1-10 Undisclosed
Pickoto,Seed,1-10,$500K,,,,,,,Online Marketplace for Automobile Sales
Planit Scheduling,Mature,1-10,$300K,,,,,,,Solutions
Plasan,Mature,201-500,Undisclosed,1985,Kibbutz Sasa,"Automotive, Defense Tech, Robotics",513768341,http://www.plasan.com,,Advanced Armor for Ground Vehicles and Aircraft
Plataine,Mature,51-200,Undisclosed,1997,,"Artificial Intelligence, Automotive, Industry 4.0, IoT",512489667,https://www.plataine.com,,AI-based Optimization Solutions for Advanced Manufacturing
